keyword,period,ratio
넓은책상,2023-09-11,1.6129
넓은책상,2023-09-12,1.07526
넓은책상,2023-09-13,0.35842
넓은책상,2023-09-14,1.85185
넓은책상,2023-09-15,1.07526
넓은책상,2023-09-16,2.21027
넓은책상,2023-09-17,1.25448
넓은책상,2023-09-18,1.25448
넓은책상,2023-09-19,1.135
넓은책상,2023-09-20,1.01553
넓은책상,2023-09-21,0.77658
넓은책상,2023-09-22,0.83632
넓은책상,2023-09-23,1.25448
넓은책상,2023-09-24,0.23894
넓은책상,2023-09-25,1.01553
넓은책상,2023-09-26,1.25448
넓은책상,2023-09-27,1.19474
넓은책상,2023-09-28,2.27001
넓은책상,2023-09-29,0.83632
넓은책상,2023-09-30,1.31421
게이밍책상,2023-08-01,51.135
게이밍책상,2023-08-02,44.98207
게이밍책상,2023-08-03,44.68339
게이밍책상,2023-08-04,40.86021
게이밍책상,2023-08-05,55.37634
게이밍책상,2023-08-06,59.4982
게이밍책상,2023-08-07,62.60454
게이밍책상,2023-08-08,62.0669
게이밍책상,2023-08-09,44.14575
게이밍책상,2023-08-10,48.62604
게이밍책상,2023-08-11,34.88649
게이밍책상,2023-08-12,43.01075
게이밍책상,2023-08-13,47.61051
게이밍책상,2023-08-14,51.01553
게이밍책상,2023-08-15,50.23894
게이밍책상,2023-08-16,60.39426
게이밍책상,2023-08-17,46.9534
게이밍책상,2023-08-18,36.73835
게이밍책상,2023-08-19,40.26284
게이밍책상,2023-08-20,46.11708
게이밍책상,2023-08-21,50.17921
게이밍책상,2023-08-22,46.29629
게이밍책상,2023-08-23,41.57706
게이밍책상,2023-08-24,36.91756
게이밍책상,2023-08-25,36.55913
게이밍책상,2023-08-26,49.0442
게이밍책상,2023-08-27,54.36081
게이밍책상,2023-08-28,47.90919
게이밍책상,2023-08-29,55.55555
게이밍책상,2023-08-30,47.01314
게이밍책상,2023-08-31,37.6344
게이밍책상,2023-09-01,36.4994
게이밍책상,2023-09-02,36.26045
게이밍책상,2023-09-03,60.93189
게이밍책상,2023-09-04,58.54241
게이밍책상,2023-09-05,68.57825
게이밍책상,2023-09-06,89.78494
게이밍책상,2023-09-07,80.58542
게이밍책상,2023-09-08,85.24492
게이밍책상,2023-09-09,86.55913
게이밍책상,2023-09-10,100.0
게이밍책상,2023-09-11,86.85782
게이밍책상,2023-09-12,94.74313
게이밍책상,2023-09-13,84.94623
게이밍책상,2023-09-14,66.66666
게이밍책상,2023-09-15,68.04062
게이밍책상,2023-09-16,83.33333
게이밍책상,2023-09-17,90.91995
게이밍책상,2023-09-18,70.4301
게이밍책상,2023-09-19,61.29032
게이밍책상,2023-09-20,63.0227
게이밍책상,2023-09-21,58.00477
게이밍책상,2023-09-22,63.85902
게이밍책상,2023-09-23,52.0908
게이밍책상,2023-09-24,44.56391
게이밍책상,2023-09-25,39.60573
게이밍책상,2023-09-26,36.43966
게이밍책상,2023-09-27,30.40621
게이밍책상,2023-09-28,35.60334
게이밍책상,2023-09-29,35.78255
게이밍책상,2023-09-30,37.21624
칸막이책상,2023-08-01,1.135
칸막이책상,2023-08-02,0.95579
칸막이책상,2023-08-03,0.53763
칸막이책상,2023-08-04,0.89605
칸막이책상,2023-08-05,1.43369
칸막이책상,2023-08-06,2.7479
칸막이책상,2023-08-07,1.73237
칸막이책상,2023-08-08,0.95579
칸막이책상,2023-08-09,1.49342
칸막이책상,2023-08-10,0.83632
칸막이책상,2023-08-11,1.07526
칸막이책상,2023-08-12,1.19474
칸막이책상,2023-08-13,2.7479
칸막이책상,2023-08-14,1.49342
칸막이책상,2023-08-15,1.97132
칸막이책상,2023-08-16,1.49342
칸막이책상,2023-08-17,2.92712
칸막이책상,2023-08-18,2.0908
칸막이책상,2023-08-19,0.95579
칸막이책상,2023-08-20,1.73237
칸막이책상,2023-08-21,1.85185
칸막이책상,2023-08-22,2.38948
칸막이책상,2023-08-23,2.68817
칸막이책상,2023-08-24,1.01553
칸막이책상,2023-08-25,1.85185
칸막이책상,2023-08-26,1.91158
칸막이책상,2023-08-27,2.32974
칸막이책상,2023-08-28,1.79211
칸막이책상,2023-08-29,1.79211
칸막이책상,2023-08-30,1.67264
칸막이책상,2023-08-31,1.6129
칸막이책상,2023-09-01,2.68817
칸막이책상,2023-09-02,3.16606
칸막이책상,2023-09-03,1.37395
칸막이책상,2023-09-04,2.62843
칸막이책상,2023-09-05,1.73237
칸막이책상,2023-09-06,1.73237
칸막이책상,2023-09-07,2.0908
칸막이책상,2023-09-08,1.85185
칸막이책상,2023-09-09,0.83632
칸막이책상,2023-09-10,1.6129
칸막이책상,2023-09-11,1.19474
칸막이책상,2023-09-12,0.95579
칸막이책상,2023-09-13,2.03106
칸막이책상,2023-09-14,2.98685
칸막이책상,2023-09-15,1.37395
칸막이책상,2023-09-16,1.85185
칸막이책상,2023-09-17,2.86738
칸막이책상,2023-09-18,2.68817
칸막이책상,2023-09-19,1.67264
칸막이책상,2023-09-20,1.6129
칸막이책상,2023-09-21,2.27001
칸막이책상,2023-09-22,1.25448
칸막이책상,2023-09-23,1.25448
칸막이책상,2023-09-24,0.83632
칸막이책상,2023-09-25,1.49342
칸막이책상,2023-09-26,2.0908
칸막이책상,2023-09-27,2.27001
칸막이책상,2023-09-28,1.07526
칸막이책상,2023-09-29,0.71684
칸막이책상,2023-09-30,1.07526
